A62_Strength_1,A62_Confidence,A63_Strength_1,A63_Confidence,A64_Strength_1,A64_Confidence,A65_Strength_1,A65_Confidence,A66_Strength_1,A66_Confidence,A67_Strength_1,A67_Confidence,A68_Strength_1,A68_Confidence,A69_Strength_1,A69_Confidence,A70_Strength_1,A70_Confidence,A71_Strength_1,A71_Confidence,A72_Strength_1,A72_Confidence,A73_Strength_1,A73_Confidence,A74_Strength_1,A74_Confidence,A75_Strength_1,A75_Confidence,A76_Strength_1,A76_Confidence,A77_Strength_1,A77_Confidence,A78_Strength_1,A78_Confidence,A79_Strength_1,A79_Confidence,A80_Strength_1,A80_Confidence,A81_Strength_1,A81_Confidence,A82_Strength_1,A82_Confidence,A83_Strength_1,A83_Confidence,A84_Strength_1,A84_Confidence,A85_Strength_1,A85_Confidence,A86_Strength_1,A86_Confidence,A87_Strength_1,A87_Confidence,A88_Strength_1,A88_Confidence,A89_Strength_1,A89_Confidence,A90_Strength_1,A90_Confidence,A91_Strength_1,A91_Confidence,A62_Truth,A63_Truth,A64_Truth,A65_Truth,A66_Truth,A67_Truth,A68_Truth,A69_Truth,A70_Truth,A71_Truth,A72_Truth,A73_Truth,A74_Truth,A75_Truth,A76_Truth,A77_Truth,A78_Truth,A79_Truth,A80_Truth,A81_Truth,A82_Truth,A83_Truth,A84_Truth,A85_Truth,A86_Truth,A87_Truth,A88_Truth,A89_Truth,A90_Truth,A91_Truth,A1_Component.truth,A2_Component.truth,A3_Component.truth,A4_Component.truth,A5_Component.truth,A6_Component.truth,A7_Component.truth,A8_Component.truth,A9_Component.truth,A10_Component.truth,A11_Component.truth,A12_Component.truth,A13_Component.truth,A14_Component.truth,A15_Component.truth,A16_Component.truth,A17_Component.truth,A18_Component.truth,A19_Component.truth,A20_Component.truth,A21_Component.truth,A22_Component.truth,A23_Component.truth,A24_Component.truth,A25_Component.truth,A26_Component.truth,A27_Component.truth,A28_Component.truth,A29_Component.truth,A30_Component.truth,A31_Component.truth,A32_Component.truth,A33_Component.truth,A34_Component.truth,A35_Component.truth,A36_Component.truth,A37_Component.truth,A38_Component.truth,A39_Component.truth,A40_Component.truth,A41_Component.truth,A42_Component.truth,A43_Component.truth,A44_Component.truth,A45_Component.truth,A46_Component.truth,A47_Component.truth,A48_Component.truth,A49_Component.truth,A50_Component.truth,A51_Component.truth,A52_Component.truth,A53_Component.truth,A54_Component.truth,A55_Component.truth,A56_Component.truth,A57_Component.truth,A58_Component.truth,A59_Component.truth,A60_Component.truth
5,9,5,9,20,9,2,10,10,8,30,6,5,9,20,7,3,9,5,10,20,8,19,8,55,1,5,9,20,8,10,9,1,10,20,9,4,9,29,7,90,NA,45,4,5,10,80,8,80,8,80,8,55,6,90,9,70,3,95,10,2,NA,2,2,2,3,2,2,2,2,2,2,2,2,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,1,2,2,1,2,1,2,1,2,1,2,2,3,2,1,1,1,1,1,1,3,1,1,3,1,1,2,1,1,3,1,1,1,NA,3,2,1,2,2,1,3,1,2,2,1,3,2,1,2,1,1,1,1,1
77,9,72,8,10,8,100,10,9,8,32,8,66,7,35,2,50,0,76,6,76,2,5,8,82,9,26,5,17,1,84,9,83,9,69,7,30,0,27,3,90,8,25,4,30,7,36,3,43,2,100,10,44,1,45,0,80,9,64,3,2,2,2,2,2,3,3,1,2,1,1,1,1,3,2,2,2,3,1,1,1,1,1,1,3,1,1,1,3,1,1,1,3,3,1,1,1,3,2,1,3,3,3,3,1,2,2,2,2,2,1,1,3,2,2,1,1,1,1,3,1,1,2,1,2,2,1,2,3,1,1,2,1,2,3,1,3,1,3,3,1,2,2,3,3,1,3,3,1,1
20,8,20,9,18,6,8,9,20,9,11,9,20,9,31,8,75,7,11,9,50,5,20,8,20,8,18,9,71,8,28,9,69,9,80,8,25,9,81,9,93,10,69,9,89,9,39,6,79,8,81,9,20,8,19,8,17,9,28,7,3,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,1,2,1,1,1,1,1,1,2,1,1,1,1,2,2,1,1,2,2,1,2,1,2,1,1,1,2,1,2,2,1,1,1,1,2,1,1,1,1,2,1,1,2,1,2,2,2,1,1,2,1,2,1,2,1,1,1,1,1,2,1,2,2,2,2,1,2,2,1,2
13,5,0,9,29,0,19,3,12,1,26,1,11,0,21,0,6,0,0,8,32,0,12,3,15,3,9,0,19,3,10,8,12,7,30,0,17,0,3,8,100,8,70,6,80,5,37,0,50,2,77,5,70,4,68,4,0,10,37,0,2,2,2,2,3,2,2,2,3,2,3,3,1,3,2,2,2,3,2,2,1,1,1,3,1,1,1,1,2,3,1,1,3,3,2,1,1,3,2,1,3,3,2,3,1,1,3,3,2,2,1,1,1,1,2,3,1,1,1,3,3,3,2,1,2,1,3,3,2,1,3,2,1,3,2,3,3,3,3,2,1,2,1,2,2,1,1,3,3,3
14,8,0,10,7,8,20,8,30,6,61,9,0,10,40,3,0,10,0,9,0,9,41,6,19,8,0,8,0,8,10,8,10,8,60,8,73,7,70,8,71,5,81,9,93,6,86,9,90,8,81,9,61,7,100,10,56,7,51,8,2,2,2,2,2,1,2,3,3,2,2,2,2,2,2,2,2,3,3,3,3,3,1,1,1,1,3,1,3,3,1,1,1,3,1,1,2,2,2,3,3,1,2,1,1,3,2,2,2,2,2,1,3,1,1,1,1,1,1,3,2,2,2,1,2,2,1,1,1,1,3,3,1,2,2,3,2,1,2,2,3,2,3,3,2,1,1,2,3,2
12,5,1,10,0,10,6,8,0,8,25,4,15,8,27,6,15,7,3,9,18,4,60,6,34,2,16,7,14,8,15,8,10,10,60,8,40,6,20,9,60,8,70,7,80,7,62,5,85,8,75,6,69,6,92,9,75,7,80,7,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,2,2,3,1,3,3,1,1,1,1,1,1,1,2,1,3,3,1,1,2,2,1,1,1,2,3,1,1,2,2,3,2,1,3,1,1,3,1,1,2,1,2,1,1,2,3,1,3,3,3,1,1,3,3,3,3,1,2,1,1,3,3,1,3,2,2,2,1,2,2,2,3
0,10,4,10,0,10,0,10,7,8,3,7,5,8,12,2,31,5,4,8,13,8,20,2,10,6,9,9,30,6,4,9,24,7,50,10,14,5,19,2,72,3,33,5,64,5,83,9,67,6,84,9,73,8,95,10,36,3,55,4,2,2,2,3,3,1,2,2,3,2,2,2,2,2,2,2,2,3,2,2,1,1,1,1,1,1,1,1,3,1,1,1,1,2,3,1,1,1,2,1,2,1,2,1,1,1,2,2,2,2,1,3,1,1,3,1,1,1,1,3,2,2,2,3,3,2,2,1,3,1,1,2,1,2,1,3,2,3,1,1,3,2,3,2,2,1,2,3,3,1
85,5,18,0,50,0,84,6,31,5,42,2,62,2,61,0,22,5,100,8,39,0,50,0,99,7,60,2,82,6,29,5,50,2,25,0,60,5,42,2,71,5,50,5,24,5,50,0,42,2,61,5,19,5,91,8,74,5,84,5,3,2,3,3,2,1,2,1,3,2,3,1,3,3,2,2,2,2,2,1,1,3,1,1,1,1,1,1,1,1,1,3,1,2,2,1,1,3,1,1,2,2,3,2,1,1,2,1,2,3,1,1,1,1,2,1,1,1,1,2,2,1,2,1,2,3,1,2,1,1,1,2,1,1,1,1,3,1,1,1,3,2,2,3,1,1,2,1,1,1
0,10,1,0,0,10,11,8,0,10,14,7,0,10,34,1,0,10,1,10,33,6,52,5,25,9,52,5,53,5,30,5,21,6,30,8,35,7,30,3,86,9,10,7,60,6,72,7,87,9,53,5,64,5,83,7,55,5,41,4,2,2,2,2,2,2,2,3,2,2,3,3,2,2,3,2,2,2,3,3,1,3,1,1,NA,3,3,1,2,3,1,2,3,2,3,1,1,2,NA,1,2,3,2,3,2,3,3,3,2,3,1,1,3,1,3,3,3,3,1,2,3,1,2,1,2,2,2,3,3,1,2,3,1,3,1,1,3,3,3,3,1,2,2,3,2,1,2,3,1,2
12,10,12,5,16,9,28,2,29,3,78,8,8,10,85,8,12,6,15,9,77,7,86,9,59,7,71,9,24,9,18,2,64,6,65,7,80,9,42,4,99,10,67,7,93,10,100,10,77,8,93,10,100,10,84,9,79,9,68,7,3,3,1,3,3,1,3,1,1,3,3,1,1,1,2,2,3,3,1,1,1,1,3,1,3,1,1,3,3,1,1,3,1,2,2,1,1,1,3,1,3,1,1,3,1,1,3,3,3,3,1,1,1,1,1,1,1,3,1,2,3,1,2,1,1,3,2,3,3,1,1,1,1,1,3,2,3,3,1,3,1,1,1,1,3,1,2,3,2,2
10,7,9,8,70,7,9,7,69,4,70,6,92,8,40,5,19,1,90,8,68,6,24,4,21,7,50,5,5,9,80,8,31,7,60,6,61,6,40,5,71,6,70,6,19,6,20,7,10,9,30,6,19,9,40,2,71,8,91,9,3,3,3,3,3,3,3,3,3,3,1,3,2,3,2,2,2,3,2,3,1,2,1,1,1,3,1,1,3,1,3,1,3,3,3,1,1,3,3,1,1,1,3,3,3,1,2,3,1,3,1,1,3,3,3,1,3,1,1,3,2,3,1,3,1,1,1,3,3,1,1,3,3,3,1,1,3,3,3,3,3,3,2,2,3,1,2,3,3,1
0,10,0,10,9,9,0,10,4,9,3,10,3,10,54,5,0,10,2,10,8,9,17,9,0,10,8,8,10,9,0,10,8,10,3,10,0,10,50,6,83,10,51,7,62,9,85,9,82,9,90,10,51,9,84,NA,80,9,82,8,2,2,2,2,3,2,2,3,2,2,2,3,2,2,2,2,2,2,2,3,1,1,1,1,1,1,3,1,1,1,1,3,1,3,3,1,1,3,2,1,3,1,NA,1,3,1,2,2,2,3,1,1,1,1,3,1,3,1,1,3,3,3,3,1,3,3,3,1,3,3,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,1,3,1,3,3
7,10,5,10,21,7,17,9,35,9,69,9,10,9,59,5,3,10,4,10,39,6,75,8,4,10,7,10,3,10,38,7,8,8,23,8,18,9,65,7,58,8,58,6,42,6,89,10,76,8,70,7,83,10,100,10,75,9,100,10,2,2,2,2,3,3,2,3,2,2,2,1,2,2,1,3,2,3,2,3,2,2,3,1,1,3,1,1,1,1,1,1,1,3,1,1,2,3,3,3,2,1,2,1,2,3,2,3,3,2,2,3,3,2,1,3,2,1,1,3,2,3,2,3,3,2,3,1,3,3,3,2,2,2,1,3,3,3,3,3,3,3,3,3,2,1,2,3,3,3
72,8,60,4,10,9,91,8,69,7,27,7,70,9,71,7,61,6,72,8,65,5,30,4,0,8,30,6,73,8,61,5,30,1,29,4,29,4,38,4,76,9,31,7,28,7,39,4,16,7,90,9,40,6,17,6,28,6,69,6,3,2,3,2,3,2,2,2,2,2,3,3,2,3,2,1,2,2,2,3,1,3,3,1,1,1,1,1,3,1,1,3,2,2,3,1,2,2,2,1,2,1,2,2,1,3,2,2,2,2,2,1,1,1,2,1,1,1,1,2,3,3,2,1,3,2,1,1,1,3,1,2,1,2,3,3,3,3,1,2,2,2,3,2,2,1,3,2,3,3
4,4,15,2,45,2,17,3,9,2,62,4,9,6,39,2,19,3,54,3,46,2,13,4,4,5,3,1,9,5,11,6,4,7,20,3,18,3,13,4,80,6,78,6,76,6,96,8,72,5,81,7,83,8,94,9,55,4,87,7,3,3,2,3,2,1,3,3,2,2,3,2,2,3,2,2,2,3,3,3,3,1,1,1,1,1,1,1,3,1,2,1,1,3,1,1,1,3,3,3,3,1,3,3,1,1,2,2,2,3,1,1,1,2,2,1,3,1,1,3,3,3,2,3,3,3,3,1,3,3,3,2,3,2,3,3,3,3,3,3,3,3,3,2,3,3,3,1,3,3
14,9,9,9,41,2,21,9,71,7,51,2,35,2,51,4,34,2,10,9,30,8,21,9,20,8,19,9,27,7,20,9,20,9,60,4,51,5,27,8,80,10,67,7,82,9,31,7,38,4,62,8,71,7,51,5,71,8,70,9,2,2,2,2,2,1,3,2,3,1,1,2,2,2,2,2,2,3,1,2,1,1,1,2,2,3,1,1,1,1,1,1,1,3,3,1,3,3,3,3,3,1,2,1,3,1,2,3,3,2,3,3,1,3,3,1,3,1,1,3,1,3,3,1,1,1,1,1,2,3,3,2,1,2,2,1,3,3,3,3,1,1,2,2,3,1,1,1,1,1
70,5,60,0,0,10,90,7,9,5,30,4,0,5,51,0,71,5,15,5,80,4,0,0,80,5,50,0,100,8,9,9,70,4,70,5,51,5,24,5,75,3,40,3,25,0,0,0,0,0,100,10,21,4,30,5,80,5,26,0,3,2,3,2,2,2,3,3,3,3,2,3,2,3,2,2,2,3,1,3,1,2,3,2,1,1,1,1,2,1,1,1,3,1,3,1,1,3,3,1,3,3,2,1,1,2,2,1,2,2,1,1,2,1,3,1,1,1,1,2,1,1,2,1,2,2,3,1,1,1,1,2,1,3,1,1,1,1,2,2,1,2,2,3,2,1,2,2,1,3
0,10,0,9,0,10,0,10,0,9,13,7,1,9,42,7,0,10,0,10,77,8,50,5,17,7,17,7,0,9,0,9,0,9,1,7,0,10,82,8,100,10,90,8,100,9,98,10,60,7,80,8,80,9,70,6,8,9,85,9,2,2,2,2,2,3,2,3,2,2,3,3,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,3,1,1,3,3,2,3,1,3,2,2,1,3,3,2,3,1,1,2,2,3,3,3,1,1,1,3,1,1,1,1,2,1,1,2,1,2,3,3,3,1,1,1,3,1,3,1,1,1,1,1,3,1,2,3,3,3,1,2,2,1,3
34,6,71,8,59,6,41,6,0,9,40,6,57,5,32,6,50,4,65,7,62,8,0,10,90,10,0,10,63,6,100,10,57,6,59,7,50,4,0,10,100,10,45,6,0,10,11,4,55,6,30,6,48,6,55,5,100,10,53,4,3,3,2,3,3,3,3,2,3,3,2,3,2,2,2,1,2,2,2,2,1,2,1,1,1,1,1,1,2,1,1,1,1,2,2,1,1,3,2,1,2,1,2,1,1,2,2,2,2,2,1,1,2,1,2,1,1,1,1,3,2,1,1,2,2,2,2,1,1,1,1,2,1,2,1,1,1,1,3,2,1,2,2,2,2,2,2,3,1,1
0,9,31,4,24,0,27,3,25,2,61,3,53,3,29,4,25,7,18,8,53,0,54,0,39,0,66,2,20,8,17,10,26,7,27,6,15,7,53,2,100,10,67,7,100,10,100,10,85,6,68,8,80,8,100,10,67,4,94,8,2,2,3,2,2,2,3,3,2,2,3,2,2,1,2,1,2,2,3,3,1,1,1,1,1,1,1,1,3,1,1,1,3,2,3,1,1,3,3,1,3,1,2,3,1,1,3,3,2,3,1,1,1,1,3,1,1,1,1,2,1,1,2,1,2,2,3,3,1,1,1,3,1,1,1,1,1,1,2,2,1,3,2,3,2,1,3,2,1,3
35,3,21,3,0,0,0,3,57,3,75,7,9,7,40,2,75,6,60,6,22,4,39,2,20,1,14,8,14,9,20,5,15,7,71,6,37,4,15,5,100,8,68,6,84,8,87,8,100,10,68,9,85,8,100,10,64,5,95,9,3,2,3,2,3,1,2,3,1,3,3,3,3,3,2,2,2,3,2,2,1,1,1,1,1,1,2,1,2,1,1,1,1,2,1,1,1,2,3,1,3,3,2,3,1,1,2,3,2,2,1,1,1,1,1,1,1,1,1,2,2,3,2,1,2,2,3,3,2,1,3,3,1,3,3,1,3,3,3,3,1,2,2,3,1,1,1,1,1,3
